FunctionField(Polynomial([PolynomialRing(GF(7)) | [2, 1, 4], [2, 2], [1]]));7;0;Linear algebra;1;0.100
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 5, 2], [6, 3], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 4, 4], [4, 4], [1]]));7;0;Original;1;0.040
FunctionField(Polynomial([PolynomialRing(GF(7)) | [2, 1, 4], [2, 2], [1]]));7;0;Original;1;0.050
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 6, 3], [0, 4], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 5, 2], [6, 3], [1]]));7;0;Linear algebra;1;0.090
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 5, 1], [6, 1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 5, 2], [6, 3], [1]]));7;0;Original;1;0.060
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 6, 3], [0, 4], [1]]));7;0;Linear algebra;1;0.100
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 4, 3], [5, 3], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 3, 4], [2, 1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 5, 1], [6, 1]]));7;0;Linear algebra;1;0.090
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 6, 3], [0, 4], [1]]));7;0;Original;1;0.050
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 3, 4], [2, 1]]));7;0;Linear algebra;1;0.070
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 5, 1], [6, 1]]));7;0;Original;1;0.070
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 4, 3], [5, 3], [1]]));7;0;Linear algebra;1;0.100
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 3, 4], [2, 1]]));7;0;Original;1;0.030
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 2, 6], [3, 1], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 4, 3], [5, 3], [1]]));7;0;Original;1;0.060
FunctionField(Polynomial([PolynomialRing(GF(7)) | [0, 3, 1], [6], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 2, 6], [3, 1], [1]]));7;0;Linear algebra;1;0.100
FunctionField(Polynomial([PolynomialRing(GF(11)) | [6, 2, 6], [6, 9], [1]]));11;0
FunctionField(Polynomial([PolynomialRing(GF(11)) | [2, 5, 10], [1, 2], [1]]));11;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [0, 3, 1], [6], [1]]));7;0;Linear algebra;1;0.080
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 2, 6], [3, 1], [1]]));7;0;Original;1;0.080
FunctionField(Polynomial([PolynomialRing(GF(11)) | [2, 2, 10], [2, 10], [1]]));11;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [0, 3, 1], [6], [1]]));7;0;Original;1;0.050
FunctionField(Polynomial([PolynomialRing(GF(11)) | [2, 5, 10], [1, 2], [1]]));11;0;Linear algebra;1;0.160
FunctionField(Polynomial([PolynomialRing(GF(11)) | [6, 2, 6], [6, 9], [1]]));11;0;Linear algebra;1;0.190
FunctionField(Polynomial([PolynomialRing(GF(11)) | [6, 6, 1], [0, 6], [1]]));11;0
FunctionField(Polynomial([PolynomialRing(GF(11)) | [9, 8, 3], [8, 1]]));11;0
FunctionField(Polynomial([PolynomialRing(GF(11)) | [2, 5, 10], [1, 2], [1]]));11;0;Original;1;0.070
