Function field,Finite field,Genus,Method,Class number,Time,Timeout
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [3, 1, 0, 3, 4, 0, 1, 2, 0, 3], [3, 0, 1, 3, 4, 1, 4, 1], [3, 1, 4, 2, 3, 2, 1], [1, 3, 0, 1, 2], [4, 1, 1, 3, 2, 1], [4, 3, 2, 3, 2], [4, 0, 1, 3], [4, 0, 3], [4], [1]]))",5,10,Linear algebra,17287446,11.800,false
"FunctionField(Polynomial([FunctionField(GF(2)) | [0, 1, 0, 0, 1, 0, 1, 1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 1], [0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1], [0, 1], [0, 0, 1, 1, 1, 0, 0, 0, 1], [0, 1, 1, 1, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 0, 1], [0, 1, 0, 1], [1, 0, 1]]))",2,13,Linear algebra,363218,27.400,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 4, 2, 0, 4, 0, 0, 0, 1, 1], [1, 2, 3, 1, 2, 3, 3, 1, 2], [0, 0, 3, 2, 1, 4, 3, 4], [0, 3, 2, 0, 3, 1, 3], [2, 2, 1, 0, 3, 1], [3, 4, 1, 2, 2], [1, 4, 3, 2], [1, 1, 1]]))",5,10,Magma,37662798,11.180,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [4, 4, 2, 1, 2, 0, 0, 3, 1, 4], [3, 0, 0, 3, 2, 2, 2, 1], [3, 4, 1, 2, 2, 2, 2], [1, 0, 2, 0, 0, 3, 4], [0, 3, 4, 1, 4, 2], [1, 2, 0, 0, 1], [4, 2, 1], [4, 4], [2, 1]]))",5,10,Linear algebra,5788524,9.740,false
"FunctionField(Polynomial([FunctionField(GF(2)) | [1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1], [1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0, 1, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0, 1, 0, 1], [1, 0, 1, 0, 1, 1, 0, 1], [1, 0, 1, 1, 1, 1, 1, 0, 1], [1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 0, 1], [1, 0, 1, 1], [0, 1, 1], [0, 1, 1]]))",2,13,Magma,143766,19.540,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 0, 1, 4, 4, 0, 4, 2, 2, 1], [0, 4, 0, 4, 4, 0, 3, 2, 2], [0, 2, 2, 1, 1, 0, 0, 2], [2, 1, 3, 4, 0, 4, 4], [1, 0, 2, 4, 1, 2], [0, 4, 4, 3, 4], [2, 3, 0, 3], [1, 3], [1, 1]]))",5,10,Magma,18625630,28.840,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [3, 1, 0, 3, 4, 0, 1, 2, 0, 3], [3, 0, 1, 3, 4, 1, 4, 1], [3, 1, 4, 2, 3, 2, 1], [1, 3, 0, 1, 2], [4, 1, 1, 3, 2, 1], [4, 3, 2, 3, 2], [4, 0, 1, 3], [4, 0, 3], [4], [1]]))",5,10,Magma,17287446,26.970,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [12, 8, 7, 7], [0, 5, 1], [1]]))",13,1,Linear algebra,16,0.310,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [12, 8, 7, 7], [0, 5, 1], [1]]))",13,1,Magma,16,0.070,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [12, 9, 1, 9], [3, 11], [5, 6], [1]]))",13,1,Linear algebra,16,0.450,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [12, 9, 1, 9], [3, 11], [5, 6], [1]]))",13,1,Magma,16,0.100,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [8, 5, 2, 8], [1, 0, 8], [3, 11], [1]]))",13,1,Linear algebra,16,0.370,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [8, 5, 2, 8], [1, 0, 8], [3, 11], [1]]))",13,1,Magma,16,0.110,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 12, 7, 6], [11, 9, 5], [1, 1], [1]]))",13,1,Linear algebra,15,0.390,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 12, 7, 6], [11, 9, 5], [1, 1], [1]]))",13,1,Magma,15,0.120,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 1, 6, 12], [12, 5, 11], [4, 9], [1]]))",13,1,Linear algebra,18,0.420,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 1, 6, 12], [12, 5, 11], [4, 9], [1]]))",13,1,Magma,18,0.110,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [7, 11, 2, 3, 8, 6], [6, 8, 8, 12, 1], [7, 7, 4, 6], [7, 3, 6], [6, 10], [1]]))",13,4,Linear algebra,33403,0.820,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [7, 11, 2, 3, 8, 6], [6, 8, 8, 12, 1], [7, 7, 4, 6], [7, 3, 6], [6, 10], [1]]))",13,4,Magma,33403,1.030,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 5, 0, 2, 6, 12], [1, 8, 6, 9, 12], [6, 11, 6, 8], [3, 9, 2], [3, 5], [1]]))",13,4,Linear algebra,47282,0.730,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 5, 0, 2, 6, 12], [1, 8, 6, 9, 12], [6, 11, 6, 8], [3, 9, 2], [3, 5], [1]]))",13,4,Magma,47282,1.210,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [8, 11, 5, 11, 9, 6], [5, 5, 3, 7], [1, 11, 8, 3], [1, 4, 5], [0, 9], [1]]))",13,4,Linear algebra,39169,1.090,false
